tweet_id,author_id,created_at,inbound,text,clean_text,word_count
1338713,432253,Fri Oct 27 14:55:08 +0000 2017,True,"@115850 Pathetic, didn't receive an item,still showing as expected on 20th October. Hail to your CC srvc,nt able to resolve since 22 Oct!","Pathetic, didn't receive an item,still showing as expected on 20th October. Hail to your CC srvc,nt able to resolve since 22 Oct!",22
1232515,409066,Sat Nov 25 23:25:06 +0000 2017,True,@comcastcares It is very frustrating because I have been a customer for years and honestly considering switching now,It is very frustrating because I have been a customer for years and honestly considering switching now,17
1889726,563548,Sun Oct 22 15:03:24 +0000 2017,True,"@563549 @Tesco Exactly! I mean, don't pin your whole translations QC on Google Translate, but for a quick indication of whether something cd be way out...","Exactly! I mean, don't pin your whole translations QC on Google Translate, but for a quick indication of whether something cd be way out...",24
543896,246356,Fri Dec 01 10:38:56 +0000 2017,True,Huge congrats to @246357 for winning yourself a brand new @123612 5T thanks to @O2! DM me so I can send you this AMAZING phone 😁#TechsBestKeptSecret #Ad,Huge congrats to for winning yourself a brand new 5T thanks to ! DM me so I can send you this AMAZING phone 😁#TechsBestKeptSecret #Ad,25
1515793,471690,Fri Nov 03 18:26:45 +0000 2017,True,@AlaskaAir Flight 404 Still waiting to take off 😫,Flight 404 Still waiting to take off 😫,8
2159833,594063,Thu Nov 09 04:00:50 +0000 2017,True,I hate lip service and being played around. For last 5 days @AirbnbHelp is just fooling around with me rather than cleaning the mess created by its host by cancelling a 7 month old reservation. @115783 @145335,I hate lip service and being played around. For last 5 days is just fooling around with me rather than cleaning the mess created by its host by cancelling a 7 month old reservation.,34
168216,155135,Fri Nov 24 20:46:41 +0000 2017,True,@116245 having worst experience ever with Neil on live chat - won’t escalate my query - giving inconsistent info and not helping,having worst experience ever with Neil on live chat - won’t escalate my query - giving inconsistent info and not helping,21
2158585,634058,Thu Nov 09 03:12:22 +0000 2017,True,Hey @SpotifyCares is there a setting for auto skipping “explicit” songs? Love y’all’s playlists but I can’t always wear earbuds or skip before my Littles start asking questions 😑,Hey is there a setting for auto skipping “explicit” songs? Love y’all’s playlists but I can’t always wear earbuds or skip before my Littles start asking questions 😑,28
96093,136942,Sat Nov 25 17:49:14 +0000 2017,True,@comcastcares Yeah that's the plan. Add the services on the app,Yeah that's the plan. Add the services on the app,10
2112858,623047,Wed Nov 08 14:24:10 +0000 2017,True,Anyone have any idea why my @115858 TV downloaded a new aerial screensaver even though I have set it to never download new ones? Annoyed that my arctic one has gone and been replaced by Dubai #appletv #apple #annoying,Anyone have any idea why my TV downloaded a new aerial screensaver even though I have set it to never download new ones? Annoyed that my arctic one has gone and been replaced by Dubai #appletv #apple #annoying,38
2728279,764995,Mon Nov 20 06:04:53 +0000 2017,True,"@AppleSupport I have an iPhone X reservation to collect 18-18.30, am I able to collect it earlier or does it have to be that specific time? https://t.co/uhYD1B2xdc","I have an iPhone X reservation to collect 18-18.30, am I able to collect it earlier or does it have to be that specific time?",25
529624,205990,Sat Dec 02 15:04:46 +0000 2017,True,@Safaricom_Care Just to report - nothing worked except a copy email to Jumia and they are promising to reply in 2 days.,Just to report - nothing worked except a copy email to Jumia and they are promising to reply in 2 days.,21
99260,137755,Thu Nov 30 15:10:35 +0000 2017,True,"I'm at Marks &amp; Spencer - @marksandspencer in Perth, Perth and Kinross https://t.co/RM227259UQ","I'm at Marks & Spencer - in Perth, Perth and Kinross",11
907965,335605,Sat Oct 21 02:27:04 +0000 2017,True,"@SouthwestAir New flight, same drunk sudoku. https://t.co/Gjvx0MVTXE","New flight, same drunk sudoku.",5
258390,162385,Fri Oct 06 01:55:26 +0000 2017,True,@XboxSupport I did try that. Was detected. Still same problem. I do have 2 other external hard drives plugged in though.,I did try that. Was detected. Still same problem. I do have 2 other external hard drives plugged in though.,20
1001975,357179,Sun Oct 22 19:18:43 +0000 2017,True,@AmazonHelp The tracking shows the courier could not find my address. Which is absolute rubbish. This has never happened before.,The tracking shows the courier could not find my address. Which is absolute rubbish. This has never happened before.,19
734534,295749,Wed Oct 11 06:37:01 +0000 2017,True,@GWRHelp The ticket machine keeps breaking down and probably needs to be replaced please.  Can that be fed back as well?,The ticket machine keeps breaking down and probably needs to be replaced please. Can that be fed back as well?,20
1380916,441427,Sat Oct 28 05:25:43 +0000 2017,True,@AmazonHelp What's d big idea behind Amazon Prime's promise of 1 day delivery.? While ordering it says 3-4 days for delivery. #Disappointed.,What's d big idea behind Amazon Prime's promise of 1 day delivery.? While ordering it says 3-4 days for delivery. #Disappointed.,21
1781879,233287,Thu Oct 12 00:17:21 +0000 2017,True,I fly @AlaskaAir to not be treated the way I am out of SFO/SJC. Beyond ridiculous to shuttle passengers over when plane should be boarding!,I fly to not be treated the way I am out of SFO/SJC. Beyond ridiculous to shuttle passengers over when plane should be boarding!,24
1408155,231099,Sat Oct 28 19:00:20 +0000 2017,True,@AmazonHelp Both phone and chat. I was told opposite things on both.,Both phone and chat. I was told opposite things on both.,11
1498879,468023,Fri Nov 03 13:07:29 +0000 2017,True,Blimey O'Reilly. The @O2 site is slow today. It's almost as if they don't want me to pay my bill 😏😏😏,Blimey O'Reilly. The site is slow today. It's almost as if they don't want me to pay my bill 😏😏😏,20
2260281,122052,Sat Nov 25 09:00:14 +0000 2017,True,@GreggsOfficial heyy will there be more Advent Calendars in Newcastle?,heyy will there be more Advent Calendars in Newcastle?,9
2333739,675388,Mon Nov 13 14:19:38 +0000 2017,True,"I’m on one of the fancy new @GWRHelp trains.
More leg room 👍
Lots of sockets 👍
Much harder seats 👎
Nothing telling you which carriage is which 👎
No seat reservations anyway 👎
No WiFi 👎",I’m on one of the fancy new trains. More leg room 👍 Lots of sockets 👍 Much harder seats 👎 Nothing telling you which carriage is which 👎 No seat reservations anyway 👎 No WiFi 👎,36
2568181,387868,Mon Oct 30 15:32:19 +0000 2017,True,"Dear @115858 i’d like for my Wifi/Bluetooth to stop turning on by themselves and my brightness to change only when I want it to, thanks.","Dear i’d like for my Wifi/Bluetooth to stop turning on by themselves and my brightness to change only when I want it to, thanks.",24
600526,262433,Sun Dec 03 22:10:28 +0000 2017,True,@262432 @AskeBay They should’ve told you not to send item untill its  cleared  naught eBay,They should’ve told you not to send item untill its cleared naught eBay,13
356765,200710,Sun Oct 08 19:33:03 +0000 2017,True,@AmazonHelp What's even more intriguing is that seller is Cloudtail retail which is Amazon's JV itself. Should I complain against Amazon or Amazon?,What's even more intriguing is that seller is Cloudtail retail which is Amazon's JV itself. Should I complain against Amazon or Amazon?,22
1100801,379723,Sat Nov 25 15:10:35 +0000 2017,True,That last iPhone update is horrendous. Everything quits every second. Ugh! @AppleSupport,That last iPhone update is horrendous. Everything quits every second. Ugh!,11
